Solution Generation,  Highest Fitness,  Average Fitness,  Lowest Fitness,   Highest Fitness max_boron,Highest Fitness FDeltaH,Highest Fitness cycle_length,Lowest Fitness max_boron,Lowest Fitness FDeltaH,Lowest Fitness cycle_length,Best max_boron in generation,  Average max_boron in generation,  Worst max_boron in generation,  Best FDeltaH in generation,  Average FDeltaH in generation,  Worst FDeltaH in generation,  Best cycle_length in generation,  Average cycle_length in generation,  Worst cycle_length in generation,  
0,  1.0,  1.0,  1.0,  0.49421527964189815,  0.1442737633394584,  0.9623001922029482,  0.49421527964189815,  0.1442737633394584,  0.9623001922029482,  0.49421527964189815,  0.49421527964189815,  0.49421527964189815,  0.1442737633394584,  0.1442737633394584,  0.1442737633394584,  0.9623001922029482,  0.9623001922029482,  0.9623001922029482,  
0,  1.0,  1.0,  1.0,  0.49421527964189815,  0.1442737633394584,  0.9623001922029482,  0.49421527964189815,  0.1442737633394584,  0.9623001922029482,  0.49421527964189815,  0.5393970944157158,  0.5845789091895336,  0.1442737633394584,  0.35730552253930087,  0.5703372817391433,  0.9623001922029482,  0.6415639045539312,  0.3208276169049141,  
0,  1.0,  1.0,  1.0,  0.5845789091895336,  0.5703372817391433,  0.3208276169049141,  0.5845789091895336,  0.5703372817391433,  0.3208276169049141,  0.32169167399954746,  0.4531352915945405,  0.5845789091895336,  0.010854325083655247,  0.2905958034113993,  0.5703372817391433,  0.3537715231174572,  0.33729957001118566,  0.3208276169049141,  
0,  1.0,  1.0,  1.0,  0.32169167399954746,  0.010854325083655247,  0.3537715231174572,  0.32169167399954746,  0.010854325083655247,  0.3537715231174572,  0.2390890950112008,  0.2803903845053741,  0.32169167399954746,  0.010854325083655247,  0.044325777390025134,  0.07779722969639502,  0.9750092462542661,  0.6643903846858616,  0.3537715231174572,  
0,  1.0,  1.0,  1.0,  0.2390890950112008,  0.07779722969639502,  0.9750092462542661,  0.2390890950112008,  0.07779722969639502,  0.9750092462542661,  0.2390890950112008,  0.307815327054328,  0.37654155909745524,  0.07779722969639502,  0.4639611750849985,  0.850125120473602,  0.9750092462542661,  0.7541121614664279,  0.5332150766785896,  
0,  1.0,  1.0,  1.0,  0.37654155909745524,  0.850125120473602,  0.5332150766785896,  0.37654155909745524,  0.850125120473602,  0.5332150766785896,  0.37654155909745524,  0.5050334200044011,  0.6335252809113469,  0.21168101599517308,  0.5309030682343876,  0.850125120473602,  0.5332150766785896,  0.42146005049640306,  0.30970502431421654,  
0,  1.0,  1.0,  1.0,  0.6335252809113469,  0.21168101599517308,  0.30970502431421654,  0.6335252809113469,  0.21168101599517308,  0.30970502431421654,  0.30617701062399894,  0.4698511457676729,  0.6335252809113469,  0.14259591720496634,  0.1771384666000697,  0.21168101599517308,  0.6942464898574618,  0.5019757570858392,  0.30970502431421654,  
0,  1.0,  1.0,  1.0,  0.30617701062399894,  0.14259591720496634,  0.6942464898574618,  0.30617701062399894,  0.14259591720496634,  0.6942464898574618,  0.30617701062399894,  0.357158313659717,  0.4081396166954351,  0.14259591720496634,  0.5102461931181315,  0.8778964690312965,  0.6942464898574618,  0.5862531633394067,  0.47825983682135154,  
0,  1.0,  1.0,  1.0,  0.4081396166954351,  0.8778964690312965,  0.47825983682135154,  0.4081396166954351,  0.8778964690312965,  0.47825983682135154,  0.4081396166954351,  0.582978790494768,  0.7578179642941009,  0.28497365746757464,  0.5814350632494356,  0.8778964690312965,  0.5795881569176102,  0.5289239968694809,  0.47825983682135154,  
0,  1.0,  1.0,  1.0,  0.7578179642941009,  0.28497365746757464,  0.5795881569176102,  0.7578179642941009,  0.28497365746757464,  0.5795881569176102,  0.755446886245097,  0.756632425269599,  0.7578179642941009,  0.1753325040492143,  0.23015308075839447,  0.28497365746757464,  0.5795881569176102,  0.511522707528111,  0.4434572581386118,  
0,  1.0,  1.0,  1.0,  0.755446886245097,  0.1753325040492143,  0.4434572581386118,  0.755446886245097,  0.1753325040492143,  0.4434572581386118,  0.08680596788101447,  0.42112642706305575,  0.755446886245097,  0.1753325040492143,  0.2999370789465583,  0.4245416538439023,  0.5576360384220094,  0.5005466482803106,  0.4434572581386118,  
0,  1.0,  1.0,  1.0,  0.08680596788101447,  0.4245416538439023,  0.5576360384220094,  0.08680596788101447,  0.4245416538439023,  0.5576360384220094,  0.08680596788101447,  0.46178063479631737,  0.8367553017116203,  0.09099696789649847,  0.2577693108702004,  0.4245416538439023,  0.5576360384220094,  0.40597785805900877,  0.25431967769600816,  
0,  1.0,  1.0,  1.0,  0.8367553017116203,  0.09099696789649847,  0.25431967769600816,  0.8367553017116203,  0.09099696789649847,  0.25431967769600816,  0.8367553017116203,  0.8833089948335853,  0.9298626879555504,  0.09099696789649847,  0.1265829411187479,  0.16216891434099734,  0.296995654145245,  0.27565766592062657,  0.25431967769600816,  
